brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,vehicle_age,vehicle_age_for_calculation,annual_mileage,group_count,mileage_median,mileage_q1,mileage_q3,mileage_iqr,mileage_lower_bound,mileage_upper_bound,eligible_for_mileage_detection,mileage_anomaly,mileage_deviation_percentage,mileage_anomaly_reason,annual_mileage_anomaly,annual_mileage_reason,price_signal,mileage_signal,age_mileage_signal,signal_count,review_priority,review_priority_reason,listing_id,price_group_count,price_median,price_q1,price_q3,price_iqr,expected_price_low,expected_price_high,price_deviation_percentage,price_deviation_abs,price_anomaly_direction,price_alert_reason,price_reference_quality,duplicate_record_count,duplicate_record_flag
AUDI,A4,2010,1800.0,AUTOMATIC,PETROL,165000.0,KOTTE,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,118.0,15,15,11000.0,2,165000.0,165000.0,165000.0,0.0,165000.0,165000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00023,2,109.0,104.5,113.5,9.0,104.5,113.5,8.256880733944955,8.256880733944955,above_expected_range,above_expected_range; deviation_from_group_median=8.3%,low,1,False
AUDI,A4,2019,1400.0,AUTOMATIC,PETROL,66000.0,BATTARAMULLA,2025-01-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,225.0,6,6,11000.0,1,66000.0,66000.0,66000.0,0.0,66000.0,66000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00024,1,225.0,225.0,225.0,0.0,225.0,225.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A4,2011,2000.0,AUTOMATIC,PETROL,154000.0,COLOMBO,2025-01-18,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,125.0,14,14,11000.0,3,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00025,3,116.5,112.25,120.75,8.5,112.25,120.75,7.296137339055794,7.296137339055794,above_expected_range,above_expected_range; deviation_from_group_median=7.3%,low,1,False
AUDI,A4,2012,2000.0,AUTOMATIC,DIESEL,143000.0,KANDANA,2025-01-15,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,169.0,13,13,11000.0,4,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00026,4,150.0,143.5,158.5,15.0,143.5,158.5,12.666666666666668,12.666666666666668,above_expected_range,above_expected_range; deviation_from_group_median=12.7%,low,1,False
AUDI,A4,1999,1900.0,MANUAL,DIESEL,286000.0,ANURADAPURA,2025-01-09,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,31.5,26,26,11000.0,1,286000.0,286000.0,286000.0,0.0,286000.0,286000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00027,1,31.5,31.5,31.5,0.0,31.5,31.5,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A4,2003,1800.0,AUTOMATIC,PETROL,242000.0,MORATUWA,2025-01-06,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,53.6,22,22,11000.0,1,242000.0,242000.0,242000.0,0.0,242000.0,242000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00028,1,53.6,53.6,53.6,0.0,53.6,53.6,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A4,2011,2000.0,AUTOMATIC,DIESEL,154000.0,COLOMBO,2025-01-27,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,108.0,14,14,11000.0,3,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00029,3,116.5,112.25,120.75,8.5,112.25,120.75,-7.296137339055794,7.296137339055794,below_expected_range,below_expected_range; deviation_from_group_median=-7.3%,low,1,False
AUDI,A4,2012,1800.0,AUTOMATIC,PETROL,143000.0,WATTALA,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,13,13,11000.0,4,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00030,4,150.0,143.5,158.5,15.0,143.5,158.5,-7.333333333333333,7.333333333333333,below_expected_range,below_expected_range; deviation_from_group_median=-7.3%,low,1,False
AUDI,A4,2016,2000.0,AUTOMATIC,PETROL,99000.0,KIRIBATHGODA,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,210.0,9,9,11000.0,1,99000.0,99000.0,99000.0,0.0,99000.0,99000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00031,1,210.0,210.0,210.0,0.0,210.0,210.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A4,2011,2000.0,AUTOMATIC,DIESEL,154000.0,KEGALLE,2024-12-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,116.5,14,14,11000.0,3,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00032,3,116.5,112.25,120.75,8.5,112.25,120.75,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
