brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,flag_baseline,absolute_deviation,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
TOYOTA,YARIS,2011,1300.0,AUTOMATIC,PETROL,154000.0,BORALESGAMUWA,2025-01-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,72.92500000000001,5,72.92500000000001,72.92500000000001,72.92500000000001,0.0,72.92500000000001,72.92500000000001,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,WAGON R PREMIUM,2018,660.0,AUTOMATIC,PETROL,77000.0,WENNAPPUWA,2025-01-15,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,67.8,7,66.19166666666666,65.8,67.625,1.8250000000000028,63.06249999999999,70.36250000000001,True,False,within_comparable_range,2.429812413445803,False,2.429812413445803,False,False,False,,,,
SUZUKI,ALTO,2010,800.0,MANUAL,PETROL,165000.0,KURUNEGALA,2025-01-27,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,NOT_AVAILABLE,25.0,21,26.538235294117648,25.95,26.9,0.9499999999999992,24.525,28.324999999999996,True,False,within_comparable_range,-5.796298348664527,False,5.796298348664527,False,False,False,,,,
TOYOTA,VITZ SAFETY EDITION,2017,1000.0,AUTOMATIC,PETROL,88000.0,KURUNEGALA,2025-01-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,82.85,8,83.175,81.4625,84.1875,2.7249999999999943,77.37500000000001,88.27499999999999,True,False,within_comparable_range,-0.3907424105801056,False,0.3907424105801056,False,False,False,,,,
TOYOTA,PASSO,2007,1000.0,AUTOMATIC,PETROL,198000.0,KURUNEGALA,2024-12-06,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,45.75,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.7625,True,False,within_comparable_range,-4.6875,False,4.6875,False,False,False,,,,
TOYOTA,VITZ SAFETY EDITION 2,2018,1000.0,AUTOMATIC,PETROL,77000.0,WATTALA,2025-01-22,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,89.5,7,91.55,89.5,93.9,4.400000000000006,82.89999999999999,100.5,True,False,within_comparable_range,-2.239213544511193,False,2.239213544511193,False,False,False,,,,
TOYOTA,VITZ KSP90,2008,1000.0,AUTOMATIC,PETROL,187000.0,MATARA,2024-12-14,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,56.0,21,56.41176470588236,55.0,57.5,2.5,51.25,61.25,True,False,within_comparable_range,-0.7299270072992863,False,0.7299270072992863,False,False,False,,,,
SUZUKI,WAGON R,2018,650.0,AUTOMATIC,HYBRID,77000.0,HOMAGAMA,2025-01-18,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,69.95,47,69.56041666666667,69.5,69.56041666666667,0.0604166666666685,69.409375,69.65104166666667,True,True,price_above_comparable_range,0.5600646919644208,True,0.5600646919644208,False,False,False,,,,
SUZUKI,MARUTI,2007,796.0,MANUAL,PETROL,198000.0,COLOMBO,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,19.75,25,17.52105263157895,17.0,17.9,0.8999999999999986,15.650000000000002,19.249999999999996,True,True,price_above_comparable_range,12.7215379993992,True,12.7215379993992,False,False,False,,,,
TOYOTA,COROLLA,2008,1600.0,AUTOMATIC,PETROL,187000.0,GALLE,2025-02-02,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,62.95625,5,62.95625,62.95625,62.95625,0.0,62.95625,62.95625,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
