brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,HYBRID,132000.0,COLOMBO,2025-01-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.0,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,1.2521516082216677
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,HYBRID,121000.0,MULLERIYAWA,2025-01-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,81.0,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,True,price_above_comparable_range,5.2161930149550395
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,PETROL,132000.0,DEHIWALA-MOUNT-LAVINIA,2025-01-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,72.0,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,-2.7979344561071993
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,HYBRID,110000.0,JAFFNA,2025-01-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.25,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,0.09551383458199013
TOYOTA,AQUA,2013,1500.0,AUTOMATIC,HYBRID,132000.0,CHILAW,2025-01-25,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.5,53,74.0725,73.15,75.0,1.8499999999999943,70.37500000000001,77.77499999999999,True,False,within_comparable_range,1.927165952276479
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,HYBRID,110000.0,MALABE,2025-01-25,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,84.5,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,-4.157836611646706
TOYOTA,AQUA,2015,1500.0,AUTOMATIC,HYBRID,110000.0,HOMAGAMA,2025-01-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.25,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,0.09551383458199013
TOYOTA,AQUA,2014,1500.0,AUTOMATIC,HYBRID,121000.0,KANDY,2025-01-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,79.5,34,76.98434782608696,76.0,77.875,1.875,73.1875,80.6875,True,False,within_comparable_range,3.2677449961595757
TOYOTA,AQUA,2015,1490.0,AUTOMATIC,PETROL,110000.0,MATALE,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.25,25,88.1657894736842,85.5,88.25,2.75,81.375,92.375,True,False,within_comparable_range,0.09551383458199013
TOYOTA,AQUA,2017,1500.0,AUTOMATIC,HYBRID,88000.0,KOLONNAWA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,88.25,6,88.25,88.25,88.25,0.0,88.25,88.25,True,False,within_comparable_range,0.0
TOYOTA,AQUA,2012,1500.0,AUTOMATIC,HYBRID,143000.0,MATALE,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,72.5,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,2.1846370683579948
TOYOTA,AQUA,2012,1499.0,AUTOMATIC,HYBRID,143000.0,MATALE,2025-01-22,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,72.5,45,70.95,69.5,72.5,3.0,65.0,77.0,True,False,within_comparable_range,2.1846370683579948
