brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,original_row_index,absolute_deviation,flag_baseline,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
KIA,RIO,2001,1500.0,AUTOMATIC,PETROL,264000.0,KURUNEGALA,2024-12-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,32.0,10,20.163888888888888,18.9375,21.125,2.1875,15.65625,24.40625,True,True,price_above_comparable_range,58.699545391927266,1430,58.699545391927266,True,True,True,True,,,,
ISUZU,GEMINI,1988,1500.0,MANUAL,DIESEL,407000.0,MINUWANGODA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,3.9,6,7.66875,7.3375,8.524999999999999,1.1874999999999982,5.556250000000003,10.306249999999995,True,True,price_below_comparable_range,-49.14425427872861,1307,49.14425427872861,True,True,True,True,,,,
TOYOTA,SOLUNA,2001,1500.0,MANUAL,PETROL,264000.0,KELANIYA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,23.9,6,28.4,28.2775,29.4375,1.1600000000000001,26.5375,31.177500000000002,True,True,price_below_comparable_range,-15.845070422535212,8911,15.845070422535212,True,True,False,False,,,,
TOYOTA,COROLLA,1996,1300.0,AUTOMATIC,PETROL,319000.0,EMBILIPITIYA,2024-12-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,23.5,5,29.6,28.9,31.0,2.1000000000000014,25.749999999999996,34.150000000000006,True,True,price_below_comparable_range,-20.608108108108112,7800,20.608108108108112,True,True,True,False,,,,
SUZUKI,A-STAR,2011,1000.0,MANUAL,PETROL,154000.0,GAMPAHA,2025-01-13,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,26.25,26,37.75,36.0,42.1375,6.137500000000003,26.793749999999996,51.34375000000001,True,True,price_below_comparable_range,-30.4635761589404,4060,30.4635761589404,True,True,True,True,,,,
TOYOTA,PASSO,2007,1000.0,AUTOMATIC,PETROL,198000.0,DANKOTUWA,2025-01-11,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,66.09473684210526,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.762499999999996,True,True,price_above_comparable_range,37.69736842105263,8436,37.69736842105263,True,True,True,True,,,,
TOYOTA,AVANZA,2011,1300.0,MANUAL,PETROL,154000.0,ANURADAPURA,2025-01-07,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,37.9374875,7,62.5,59.30625,66.5,7.193750000000001,48.515625,77.290625,True,True,price_below_comparable_range,-39.300019999999996,7228,39.300019999999996,True,True,True,True,,,,
HYUNDAI,SONATA,2000,2000.0,AUTOMATIC,PETROL,275000.0,BANDARAGAMA,2024-12-26,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,6.5,6,18.4625,18.025,21.9375,3.9125000000000014,12.156249999999996,27.806250000000002,True,True,price_below_comparable_range,-64.79350033852404,1281,64.79350033852404,True,True,True,True,,,,
NISSAN,FB13,1991,1500.0,MANUAL,PETROL,374000.0,MAWANELLA,2024-12-12,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,11.4375,9,17.4,16.6875,18.5,1.8125,13.96875,21.21875,True,True,price_below_comparable_range,-34.267241379310335,2688,34.267241379310335,True,True,True,True,,,,
NISSAN,FB14,1997,2000.0,AUTOMATIC,DIESEL,308000.0,COLOMBO,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,33.84375,21,27.155263157894737,25.6,28.25,2.6499999999999986,21.625000000000004,32.224999999999994,True,True,price_above_comparable_range,24.630535904641924,2711,24.630535904641924,True,True,True,False,,,,
TOYOTA,COROLLA DX WAGON,1987,1500.0,MANUAL,PETROL,418000.0,NITTAMBUWA,2024-12-11,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,9.125,6,13.15,12.7625,14.7,1.9375,9.85625,17.60625,True,True,price_below_comparable_range,-30.60836501901141,8103,30.60836501901141,True,True,True,True,,,,
TOYOTA,PASSO,2007,1360.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,13.75,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.762499999999996,True,True,price_below_comparable_range,-71.35416666666666,8416,71.35416666666666,True,True,True,True,,,,
SUZUKI,SWIFT,2008,1300.0,MANUAL,PETROL,187000.0,MATARA,2025-02-02,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,37.25,19,49.5,48.27,52.0,3.729999999999997,42.67500000000001,57.595,True,True,price_below_comparable_range,-24.747474747474747,5482,24.747474747474747,True,True,True,False,,,,
NISSAN,LEAF,2015,1500.0,AUTOMATIC,ELECTRIC,110000.0,AVISSAWELLA,2024-12-14,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,74.23750000000001,6,48.2,46.85,49.474999999999994,2.624999999999993,42.91250000000001,53.41249999999998,True,True,price_above_comparable_range,54.01970954356848,3043,54.01970954356848,True,True,True,True,,,,
MITSUBISHI,LANCER BOX,1980,1400.0,MANUAL,PETROL,495000.0,BORALESGAMUWA,2025-01-11,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,15.0,12,9.1,7.737500000000001,10.0,2.2624999999999993,4.343750000000002,13.393749999999999,True,True,price_above_comparable_range,64.83516483516483,2196,64.83516483516483,True,True,True,True,,,,
TOYOTA,CARINA,1997,2000.0,AUTOMATIC,DIESEL,308000.0,KURUNEGALA,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,26.0,10,38.269444444444446,36.0,41.9625,5.962499999999999,27.056250000000002,50.90625,True,True,price_below_comparable_range,-32.060680844886406,7626,32.060680844886406,True,True,True,True,,,,
SUZUKI,WAGON R,2015,650.0,AUTOMATIC,HYBRID,110000.0,RATNAPURA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,37.4375,19,53.9,52.74666666666667,56.0,3.2533333333333303,47.866666666666674,60.879999999999995,True,True,price_below_comparable_range,-30.542671614100186,5828,30.542671614100186,True,True,True,True,,,,
HYUNDAI,ACCENT,2000,1495.0,AUTOMATIC,PETROL,275000.0,HOMAGAMA,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,NOT_AVAILABLE,27.75,13,23.0,21.9,23.95,2.0500000000000007,18.824999999999996,27.025,True,True,price_above_comparable_range,20.652173913043477,1130,20.652173913043477,True,True,True,False,,,,
NISSAN,LEAF,2014,1500.0,AUTOMATIC,ELECTRIC,121000.0,COLOMBO,2025-01-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,72.0,9,54.0,49.75,58.0,8.25,37.375,70.375,True,True,price_above_comparable_range,33.33333333333333,3030,33.33333333333333,True,True,True,True,,,,
NISSAN,FB15,2001,1500.0,MANUAL,PETROL,264000.0,WELIMADA,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,54.25,21,39.5,37.25,42.5,5.25,29.375,50.375,True,True,price_above_comparable_range,37.34177215189873,2859,37.34177215189873,True,True,True,True,,,,
TOYOTA,PASSO,2007,1339.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,13.75,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.762499999999996,True,True,price_below_comparable_range,-71.35416666666666,8430,71.35416666666666,True,True,True,True,,,,
TOYOTA,PASSO,2007,1000.0,AUTOMATIC,PETROL,198000.0,ANURADAPURA,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,66.09473684210526,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.762499999999996,True,True,price_above_comparable_range,37.69736842105263,8470,37.69736842105263,True,True,True,True,,,,
HONDA,GRACE EX,2016,1500.0,AUTOMATIC,HYBRID,99000.0,KOTTAWA,2025-01-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.82500000000002,12,107.75,103.40795454545456,114.625,11.217045454545442,86.5823863636364,131.45056818181817,True,True,price_below_comparable_range,-29.62877030162411,979,29.62877030162411,True,True,True,False,,,,
TOYOTA,CARINA,1989,1500.0,MANUAL,PETROL,396000.0,MATARA,2024-12-10,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.3,6,15.85,15.55,16.7125,1.1624999999999979,13.806250000000004,18.456249999999997,True,True,price_below_comparable_range,-28.706624605678225,7666,28.706624605678225,True,True,True,False,,,,
NISSAN,BLUEBIRD,1999,1790.0,AUTOMATIC,PETROL,286000.0,KURUNEGALA,2025-01-20,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,10.0,6,23.95,22.0075,23.95,1.942499999999999,19.09375,26.863749999999996,True,True,price_below_comparable_range,-58.24634655532359,2508,58.24634655532359,True,True,True,True,,,,
SUZUKI,A-STAR,2011,1000.0,MANUAL,PETROL,154000.0,BADULLA,2025-01-06,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,26.25,26,37.75,36.0,42.1375,6.137500000000003,26.793749999999996,51.34375000000001,True,True,price_below_comparable_range,-30.4635761589404,4069,30.4635761589404,True,True,True,True,,,,
SUZUKI,WAGON R STINGRAY,2015,650.0,AUTOMATIC,HYBRID,110000.0,KANDANA,2024-12-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,35.46585384146341,46,55.849999999999994,55.18870967741937,57.0,1.811290322580632,52.47177419354842,59.71693548387095,True,True,price_below_comparable_range,-36.498023560495234,6337,36.498023560495234,True,True,True,True,,,,
NISSAN,N16,2002,1498.0,AUTOMATIC,PETROL,253000.0,COLOMBO,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,NOT_AVAILABLE,42.9,6,32.75,32.125,34.875,2.75,28.0,39.0,True,True,price_above_comparable_range,30.992366412213734,3236,30.992366412213734,True,True,True,True,,,,
TOYOTA,VIOS,2003,1490.0,AUTOMATIC,PETROL,242000.0,GAMPAHA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,35.75,17,47.0,45.0,48.45,3.450000000000003,39.824999999999996,53.62500000000001,True,True,price_below_comparable_range,-23.93617021276596,9066,23.93617021276596,True,True,True,False,,,,
MITSUBISHI,LANCER BOX,1981,1400.0,MANUAL,PETROL,484000.0,WELIMADA,2025-01-02,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,6.6,13,10.9,9.95,11.95,2.0,6.949999999999999,14.95,True,True,price_below_comparable_range,-39.44954128440368,2214,39.44954128440368,True,True,True,True,,,,
SUZUKI,SWIFT,2003,1360.0,MANUAL,PETROL,242000.0,KANDY,2025-02-02,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,19.90625,38,39.625,37.67058823529411,41.0,3.3294117647058883,32.676470588235276,45.99411764705883,True,True,price_below_comparable_range,-49.76340694006309,5481,49.76340694006309,True,True,True,True,,,,
NISSAN,MARCH,2002,1740.0,AUTOMATIC,PETROL,253000.0,MINUWANGODA,2024-12-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,35.35,8,29.35714285714286,28.375,29.5625,1.1875,26.59375,31.34375,True,True,price_above_comparable_range,20.41362530413624,3097,20.41362530413624,True,True,True,False,,,,
MITSUBISHI,LANCER BOX,1980,1400.0,MANUAL,PETROL,495000.0,MIRIGAMA,2024-12-13,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.14910714285714,12,9.1,7.737500000000001,10.0,2.2624999999999993,4.343750000000002,13.393749999999999,True,True,price_above_comparable_range,88.45172684458397,2226,88.45172684458397,True,True,True,True,,,,
TOYOTA,DX WAGON,1986,1290.0,MANUAL,PETROL,429000.0,RATNAPURA,2025-01-10,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,16.5,7,11.9,11.125,13.25,2.125,7.9375,16.4375,True,True,price_above_comparable_range,38.65546218487395,8291,38.65546218487395,True,True,True,True,,,,
KIA,RIO,2001,1343.0,MANUAL,PETROL,264000.0,MATUGAMA,2024-12-11,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,11.706250000000004,10,20.163888888888888,18.9375,21.125,2.1875,15.65625,24.40625,True,True,price_below_comparable_range,-41.94448271111721,1428,41.94448271111721,True,True,True,True,,,,
