listing_id,alert_rank,brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,condition,price,price_median,expected_price_low,expected_price_high,price_deviation_percentage,price_anomaly_direction,price_alert_reason,price_group_count,price_reference_quality,duplicate_record_count,duplicate_record_flag,review_priority
listing_05226,594,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,HOMAGAMA,2024-12-18,USED,16.5,16.87,16.75,16.87,-2.1932424422051033,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,47,high,4,True,medium
listing_05181,595,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,BANDARAWELA,2025-01-03,USED,16.5,16.87,16.75,16.87,-2.1932424422051033,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,47,high,4,True,medium
listing_04680,596,SUZUKI,ALTO JAPAN,2017,746.0,AUTOMATIC,PETROL,88000.0,KURUNEGALA,2024-12-09,USED,54.75,53.575,53.575,53.575,2.193187120858604,above_expected_range,above_expected_range; deviation_from_group_median=2.2%,27,high,1,False,medium
listing_07312,597,TOYOTA,AXIO,2014,1500.0,AUTOMATIC,PETROL,121000.0,KANDY,2025-01-25,USED,95.0,97.125,96.5,97.125,-2.187902187902188,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,15,high,2,True,medium
listing_07358,598,TOYOTA,AXIO,2014,1500.0,AUTOMATIC,PETROL,121000.0,COLOMBO,2024-12-21,USED,95.0,97.125,96.5,97.125,-2.187902187902188,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,15,high,2,True,medium
listing_04632,599,SUZUKI,ALTO JAPAN,2018,660.0,AUTOMATIC,HYBRID,77000.0,NUGEGODA,2025-01-12,USED,51.9,53.05625,52.724999999999994,53.1671875,-2.1792908469784424,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,12,high,1,False,medium
listing_06455,600,SUZUKI,WAGON R STINGRAY J STYLE,2015,650.0,AUTOMATIC,PETROL,110000.0,PUTTALAM,2024-12-23,USED,56.0,57.24545454545454,57.122727272727275,57.375,-2.1756391932666297,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,19,high,1,False,medium
listing_04661,601,SUZUKI,ALTO JAPAN,2003,650.0,AUTOMATIC,PETROL,242000.0,KANDY,2024-12-28,USED,31.5,32.2,31.9625,32.25,-2.1739130434782696,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,22,high,1,False,medium
listing_04593,602,SUZUKI,ALTO JAPAN,2003,650.0,AUTOMATIC,PETROL,242000.0,KADUWELA,2025-02-03,USED,32.9,32.2,31.9625,32.25,2.173913043478247,above_expected_range,above_expected_range; deviation_from_group_median=2.2%,22,high,1,False,medium
listing_09696,603,TOYOTA,YARIS,2008,1300.0,AUTOMATIC,PETROL,187000.0,BANDARAGAMA,2024-12-23,USED,66.75,65.35416666666667,65.0,65.5,2.13579853363085,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,19,high,1,False,medium
listing_06454,604,SUZUKI,WAGON R STINGRAY J STYLE,2014,650.0,AUTOMATIC,PETROL,121000.0,TANGALLE,2024-12-26,USED,57.9,56.69444444444444,56.5,56.923611111111114,2.12640862322391,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,14,high,2,True,medium
listing_06461,605,SUZUKI,WAGON R STINGRAY J STYLE,2014,660.0,AUTOMATIC,HYBRID,121000.0,MATUGAMA,2024-12-15,USED,57.9,56.69444444444444,56.5,56.923611111111114,2.12640862322391,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,14,high,2,True,medium
listing_05988,606,SUZUKI,WAGON R FZ,2015,660.0,AUTOMATIC,PETROL,110000.0,GALLE,2025-02-04,USED,54.25,55.41666666666667,55.41666666666667,55.5,-2.105263157894745,below_expected_range,below_expected_range; deviation_from_group_median=-2.1%,5,medium,1,False,medium
listing_07318,607,TOYOTA,AXIO,2015,1000.0,AUTOMATIC,PETROL,110000.0,WELISARA,2025-01-20,USED,115.0,112.63636363636364,112.63636363636364,112.63636363636364,2.098466505246163,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,35,high,3,True,medium
listing_07380,608,TOYOTA,AXIO,2015,1300.0,AUTOMATIC,PETROL,110000.0,KANDY,2024-12-07,USED,115.0,112.63636363636364,112.63636363636364,112.63636363636364,2.098466505246163,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,35,high,3,True,medium
listing_07261,609,TOYOTA,AXIO,2015,1500.0,AUTOMATIC,HYBRID,110000.0,ANURADAPURA,2025-02-03,USED,115.0,112.63636363636364,112.63636363636364,112.63636363636364,2.098466505246163,above_expected_range,above_expected_range; deviation_from_group_median=2.1%,35,high,3,True,medium
