brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,vehicle_age,vehicle_age_for_calculation,annual_mileage,group_count,mileage_median,mileage_q1,mileage_q3,mileage_iqr,mileage_lower_bound,mileage_upper_bound,eligible_for_mileage_detection,mileage_anomaly,mileage_deviation_percentage,mileage_anomaly_reason
AUDI,A5,2018,1400.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,316.5,7,7,11000.0,1,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range
AUDI,A5,2014,2000.0,AUTOMATIC,PETROL,121000.0,COLOMBO,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,220.0,11,11,11000.0,1,121000.0,121000.0,121000.0,0.0,121000.0,121000.0,False,False,0.0,within_comparable_range
AUDI,A6,2011,2000.0,AUTOMATIC,PETROL,154000.0,NUGEGODA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,114.9,14,14,11000.0,1,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range
AUDI,A6,2013,2000.0,AUTOMATIC,PETROL,132000.0,COLOMBO,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,180.0,12,12,11000.0,3,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,False,False,0.0,within_comparable_range
AUDI,A6,2012,2000.0,AUTOMATIC,PETROL,143000.0,NUGEGODA,2025-01-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,149.0,13,13,11000.0,1,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range
AUDI,A6,2013,2000.0,AUTOMATIC,DIESEL,132000.0,RATNAPURA,2025-01-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,180.0,12,12,11000.0,3,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,False,False,0.0,within_comparable_range
AUDI,A6,2001,1900.0,MANUAL,DIESEL,264000.0,HAMBANTOTA,2025-01-27,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,48.0,24,24,11000.0,1,264000.0,264000.0,264000.0,0.0,264000.0,264000.0,False,False,0.0,within_comparable_range
AUDI,A6,2013,2000.0,AUTOMATIC,PETROL,132000.0,GAMPAHA,2024-12-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,180.0,12,12,11000.0,3,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,False,False,0.0,within_comparable_range
AUDI,A6,2003,2000.0,MANUAL,DIESEL,242000.0,COLOMBO,2024-12-27,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,48.5,22,22,11000.0,1,242000.0,242000.0,242000.0,0.0,242000.0,242000.0,False,False,0.0,within_comparable_range
AUDI,A6 S LINE,2010,2000.0,AUTOMATIC,PETROL,165000.0,DEHIWALA-MOUNT-LAVINIA,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,117.5,15,15,11000.0,1,165000.0,165000.0,165000.0,0.0,165000.0,165000.0,False,False,0.0,within_comparable_range
AUDI,A6 S LINE,2016,1800.0,AUTOMATIC,PETROL,99000.0,COLOMBO,2025-01-12,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,248.0,9,9,11000.0,1,99000.0,99000.0,99000.0,0.0,99000.0,99000.0,False,False,0.0,within_comparable_range
AUDI,A6 T1.8,2004,1800.0,AUTOMATIC,PETROL,231000.0,NITTAMBUWA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,16.95,21,21,11000.0,1,231000.0,231000.0,231000.0,0.0,231000.0,231000.0,False,False,0.0,within_comparable_range
AUDI,A6 TFSI,2017,1800.0,AUTOMATIC,PETROL,88000.0,MORATUWA,2025-01-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,256.5,8,8,11000.0,1,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range
AUDI,A8L,2013,3000.0,AUTOMATIC,DIESEL,132000.0,MAHARAGAMA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,25.0,12,12,11000.0,2,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,False,False,0.0,within_comparable_range
AUDI,A8L,2013,3000.0,AUTOMATIC,HYBRID,132000.0,COLOMBO,2024-12-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,25.0,12,12,11000.0,2,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,False,False,0.0,within_comparable_range
AUDI,Q4,2024,1500.0,AUTOMATIC,ELECTRIC,11000.0,GAMPOLA,2025-01-12,NO LEASING,NEW,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,475.0,1,1,11000.0,1,11000.0,11000.0,11000.0,0.0,11000.0,11000.0,False,False,0.0,within_comparable_range
AUSTIN,CAMBRIDGE,1960,1500.0,MANUAL,PETROL,715000.0,KULIYAPITIYA,2024-12-28,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,12.75,65,65,11000.0,1,715000.0,715000.0,715000.0,0.0,715000.0,715000.0,False,False,0.0,within_comparable_range
AUSTIN,COOPER S,1998,1300.0,AUTOMATIC,PETROL,297000.0,COLOMBO,2024-12-08,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,33.5,27,27,11000.0,1,297000.0,297000.0,297000.0,0.0,297000.0,297000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI,1960,1300.0,AUTOMATIC,PETROL,715000.0,COLOMBO,2024-12-29,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,25.0,65,65,11000.0,1,715000.0,715000.0,715000.0,0.0,715000.0,715000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1980,1300.0,MANUAL,PETROL,495000.0,MINUWANGODA,2025-02-05,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,21.5,45,45,11000.0,3,495000.0,495000.0,495000.0,0.0,495000.0,495000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1969,1300.0,AUTOMATIC,PETROL,616000.0,MATARA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,24.9,56,56,11000.0,4,616000.0,616000.0,616000.0,0.0,616000.0,616000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1969,1300.0,MANUAL,PETROL,616000.0,GAMPAHA,2025-01-18,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,20.5,56,56,11000.0,4,616000.0,616000.0,616000.0,0.0,616000.0,616000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1997,1300.0,AUTOMATIC,PETROL,308000.0,KADAWATHA,2025-01-15,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,30.0,28,28,11000.0,3,308000.0,308000.0,308000.0,0.0,308000.0,308000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1995,1300.0,MANUAL,PETROL,330000.0,HORANA,2025-01-09,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,26.5,30,30,11000.0,1,330000.0,330000.0,330000.0,0.0,330000.0,330000.0,False,False,0.0,within_comparable_range
AUSTIN,MINI COOPER,1960,1300.0,MANUAL,PETROL,715000.0,MAWANELLA,2025-01-09,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,22.95,65,65,11000.0,1,715000.0,715000.0,715000.0,0.0,715000.0,715000.0,False,False,0.0,within_comparable_range
