brand,model,year_of_manufacture,listing_count
SUZUKI,ALTO,2010,21
NISSAN,FB15,2002,20
SUZUKI,SPACIA,2017,20
KIA,PICANTO,2016,20
TOYOTA,YARIS,2007,20
SUZUKI,MARUTI,2004,20
HONDA,FIT GP1,2011,19
SUZUKI,WAGON R,2015,19
MICRO,PANDA,2017,19
SUZUKI,SWIFT,2008,19
SUZUKI,ALTO,2007,19
SUZUKI,WAGON R STINGRAY J STYLE,2015,19
TOYOTA,YARIS,2008,19
TOYOTA,AQUA G GRADE,2013,18
NISSAN,MARCH K11,2000,18
HONDA,FIT GP5,2013,18
HONDA,FIT GP1,2013,18
TOYOTA,AXIO,2008,18
SUZUKI,ALTO K10,2015,18
TOYOTA,PRIUS,2012,18
NISSAN,FB15,1999,18
SUZUKI,ALTO K10,2011,18
SUZUKI,ALTO JAPAN,2016,17
TOYOTA,VITZ EDITION 2,2018,17
TOYOTA,PRIUS,2011,17
TOYOTA,PRIUS,2013,17
TOYOTA,BELTA,2008,17
TOYOTA,VIOS,2003,17
TOYOTA,VITZ,2019,16
TOYOTA,VITZ,2009,16
SUZUKI,SPACIA,2016,16
SUZUKI,ALTO JAPAN,2004,16
HONDA,FIT GP5,2015,16
TOYOTA,AQUA X URBAN,2015,16
TOYOTA,PREMIO,2018,15
MICRO,PANDA,2016,15
MICRO,PANDA,2013,15
HYUNDAI,ACCENT,2001,15
TOYOTA,AXIO G GRADE,2015,15
TOYOTA,AXIO,2014,15
TOYOTA,110,1997,15
PERODUA,VIVA ELITE,2013,15
TOYOTA,PREMIO G SUPERIOR,2017,14
SUZUKI,WAGON R STINGRAY J STYLE,2014,14
TOYOTA,ALLION,2007,14
SUZUKI,WAGON R FX,2018,14
SUZUKI,A-STAR,2012,14
TOYOTA,COROLLA 110,1996,14
SUZUKI,CELERIO,2016,14
SUZUKI,WAGON R FZ SAFETY,2017,14
MITSUBISHI,LANCER BOX,1981,13
HYUNDAI,ACCENT,2000,13
TOYOTA,ALLION 260,2008,13
TOYOTA,ALLION 260,2007,13
SUZUKI,SPACIA,2015,13
HYUNDAI,ACCENT,2002,13
HONDA,GRACE,2015,13
SUZUKI,ESTILO,2011,13
HONDA,INSIGHT,2009,13
TOYOTA,PRIUS,2008,13
TOYOTA,PREMIO G SUPERIOR,2014,13
TOYOTA,PREMIO,2013,13
TOYOTA,ALLION 240,2003,13
NISSAN,N16,2000,13
HONDA,INSIGHT,2011,12
SUZUKI,WAGON R FX SAFETY,2017,12
TOYOTA,VIOS,2004,12
SUZUKI,MARUTI,2008,12
MITSUBISHI,LANCER BOX,1980,12
HONDA,GRACE EX,2016,12
TOYOTA,ALLION 260,2010,12
TOYOTA,PREMIO,2011,12
TOYOTA,AQUA G GRADE,2012,12
MITSUBISHI,LANCER BOX,1983,12
SUZUKI,ALTO JAPAN,2018,12
MICRO,PANDA,2011,11
TOYOTA,AQUA G GRADE,2014,11
TOYOTA,AXIO WXB,2018,11
SUZUKI,SWIFT,2009,11
CHERY,QQ,2007,11
CHERY,QQ,2006,11
HONDA,GRACE,2016,11
PERODUA,KELISA,2006,11
TOYOTA,PRIUS,2010,11
HONDA,FIT SHUTTLE,2013,11
SUZUKI,WAGON R STINGRAY,2016,11
TATA,NANO,2011,11
SUZUKI,MARUTI 800,2006,11
SUZUKI,MARUTI 800,2007,11
SUZUKI,SPACIA CUSTOM Z,2017,10
TATA,NANO,2012,10
TOYOTA,BELTA,2009,10
DAIHATSU,MIRA,2015,10
NISSAN,MARCH K11,2001,10
KIA,RIO,2001,10
TOYOTA,PREMIO G SUPERIOR,2016,10
NISSAN,TRAD SUNNY,1988,10
ZOTYE,Z100,2017,10
TOYOTA,PASSO,2008,10
PERODUA,VIVA ELITE PREMIUM,2011,10
TOYOTA,IST,2003,10
TOYOTA,STARLET,1996,10
TOYOTA,PREMIO G SUPERIOR,2010,10
HYUNDAI,EON,2016,10
TOYOTA,VIOS,2007,10
SUZUKI,CELERIO,2014,10
TOYOTA,CARINA,1997,10
TOYOTA,ALLION,2010,10
TOYOTA,ALLION,2008,10
SUZUKI,CELERIO VXI,2015,10
NISSAN,B11,1983,10
SUZUKI,ALTO 800 LXI,2015,10
SUZUKI,SWIFT,2002,9
HONDA,FIT GP5 L GRADE,2013,9
HONDA,FIT GP5 L GRADE,2014,9
TATA,NANO,2016,9
TOYOTA,PREMIO G SUPERIOR,2007,9
TOYOTA,PRIUS,2014,9
PERODUA,AXIA,2016,9
MICRO,PANDA CROSS,2014,9
NISSAN,LEAF,2014,9
TOYOTA,AXIO G GRADE,2007,9
TOYOTA,PREMIO,2007,9
NISSAN,FB13,1991,9
SUZUKI,MARUTI,2012,9
TOYOTA,PREMIO G SUPERIOR,2015,9
HONDA,GRACE EX,2015,9
SUZUKI,SWIFT,2017,9
TOYOTA,AXIO,2016,9
MICRO,PANDA,2012,9
SUZUKI,ALTO,2013,9
SUZUKI,SWIFT,2007,9
MICRO,PANDA CROSS,2016,9
TOYOTA,COROLLA 141,2007,9
SUZUKI,SPACIA,2018,9
NISSAN,PULSAR,1997,9
HONDA,CIVIC,2018,9
CHEVROLET,CRUZE,2004,9
TOYOTA,CARINA,1998,8
NISSAN,FB13,1993,8
TATA,NANO,2017,8
NISSAN,FB13,1992,8
TOYOTA,COROLLA 121,2003,8
HONDA,GRACE,2014,8
TOYOTA,COROLLA 121,2004,8
TOYOTA,CE110,1997,8
PERODUA,VIVA ELITE,2008,8
HONDA,GRACE EX,2014,8
PERODUA,AXIA,2015,8
SUZUKI,SWIFT RS,2017,8
TOYOTA,COROLLA 121,2002,8
TOYOTA,ALLION 240,2002,8
HYUNDAI,ELANTRA,2000,8
MICRO,PANDA CROSS,2013,8
NISSAN,B11,1985,8
TOYOTA,AQUA S GRADE,2014,8
SUZUKI,MARUTI 800,2012,8
NISSAN,FB14,1995,8
SUZUKI,MARUTI 800,2010,8
TOYOTA,AQUA S GRADE,2013,8
NISSAN,FB14,1998,8
TOYOTA,COROLLA 121,2005,8
TOYOTA,PRIUS,2016,8
TOYOTA,COROLLA AE100,1992,8
DATSUN,REDI-GO,2016,8
TOYOTA,ALLION,2013,8
SUZUKI,SPACIA CUSTOM,2016,8
NISSAN,MARCH AK12,2002,8
DAIHATSU,MIRA,2016,8
NISSAN,MARCH,2002,8
MITSUBISHI,LANCER BOX,1982,8
SUZUKI,SPACIA CUSTOM,2018,8
NISSAN,PULSAR,1998,8
SUZUKI,ALTO,2008,8
MAZDA,DEMIO,2007,8
NISSAN,TIIDA,2007,8
TOYOTA,VITZ SAFETY EDITION,2017,8
SUZUKI,WAGON R FZ SAFETY,2018,8
NISSAN,FB15 SUPER SALOON,2000,8
DATSUN,REDI-GO,2017,8
SUZUKI,WAGON R FZ SAFETY,2014,8
KIA,RIO,2003,8
SUZUKI,HUSTLER,2016,8
