brand,model,year_of_manufacture,listing_count
TOYOTA,IST FL GRADE,2004,3
TOYOTA,IST FL GRADE,2003,3
TOYOTA,COROLLA 110,1999,3
HONDA,INSIGHT ZE2,2009,3
SUZUKI,ZEN ESTILO,2011,3
TOYOTA,COROLLA 110,1998,3
AUDI,A3 SPORTBACK,2017,3
TOYOTA,IST,2008,3
ISUZU,GEMINI,1991,3
TOYOTA,ALLION,2014,3
HONDA,GRACE EX SENSING,2018,3
KIA,RIO,2002,3
TATA,INDICA,2004,3
HONDA,GRACE EX GRADE,2015,3
HONDA,GRACE,2017,3
TOYOTA,IST,2004,3
ISUZU,GEMINI,1987,3
NISSAN,MARCH AK12,2008,3
TOYOTA,EE90,1990,3
TOYOTA,DX WAGON KE72,1986,3
HONDA,FIT,2013,3
MITSUBISHI,GALANT,2000,3
MITSUBISHI,LANCER CS1,2003,3
TOYOTA,PRIUS G TOURING,2012,3
TOYOTA,DX WAGON,1985,3
HONDA,FIT GD1,2003,3
HONDA,FIT ARIA,2008,3
AUSTIN,MINI COOPER,1980,3
MAZDA,DEMIO,2010,3
MITSUBISHI,LANCER CS1,2007,3
AUSTIN,MINI COOPER,1997,3
SUZUKI,ESTILO VXI,2011,3
MITSUBISHI,EK WAGON CUSTOM,2016,3
HONDA,FIT GP1,2014,3
MAZDA,FAMILIA,1993,3
MAZDA,FAMILIA,1996,3
MAZDA,FAMILIA,1997,3
TOYOTA,COROLLA,1993,3
TATA,NANO LX,2012,3
SUZUKI,ESTILO,2008,3
MAZDA,FAMILIA,2002,3
TOYOTA,COROLLA 141,2010,3
TOYOTA,COROLLA,1991,3
TOYOTA,AQUA,2016,3
NISSAN,LEAF AZEO,2013,3
HONDA,FIT GE6,2008,3
TOYOTA,CARINA,1991,3
NISSAN,PRESEA,2000,3
NISSAN,MARCH AK12,2003,3
TOYOTA,DX WAGON,1988,3
TOYOTA,ALLION 260 G GRADE,2010,3
TOYOTA,DX WAGON,1989,3
TOYOTA,CARINA AT192,1993,2
SUZUKI,BALENO,2016,2
TOYOTA,CE110 SE SALOON LIMITED,1998,2
NISSAN,B11,1989,2
TOYOTA,COROLLA,2000,2
SUZUKI,MARUTI 800,2008,2
MITSUBISHI,LANCER FLAT LIGHT,1977,2
MITSUBISHI,LANCER CS2,2002,2
NISSAN,SUNNY,1983,2
TOYOTA,CE96,1991,2
SUZUKI,ALTO 800 LXI,2013,2
SUZUKI,MARUTI 800,2009,2
SUZUKI,ALTO 800 LXI,2016,2
MITSUBISHI,LANCER CB8,1992,2
SUZUKI,CELERIO ZXI,2016,2
NISSAN,SUNNY,1986,2
SUZUKI,CELERIO ZXI,2015,2
TOYOTA,COROLLA,1992,2
TOYOTA,CARINA 170,1991,2
TOYOTA,COROLLA,1985,2
TOYOTA,COROLLA,1990,2
MITSUBISHI,LANCER CS3 GLX,2001,2
MITSUBISHI,MIRAGE,2012,2
SUZUKI,MARUTI 800,1998,2
TOYOTA,CARINA SI MY ROAD,1999,2
NISSAN,B14,1995,2
NISSAN,B14,1994,2
TOYOTA,CARINA,1995,2
TOYOTA,CARINA,1996,2
TOYOTA,CARINA GT,1997,2
SUZUKI,ALTO 800 LXI,2011,2
SUZUKI,MARUTI EFI,2004,2
MITSUBISHI,LANCER CK2,2001,2
MITSUBISHI,LANCER BOX,1987,2
MITSUBISHI,LANCER EX,2008,2
MITSUBISHI,LANCER CK2,2000,2
SUZUKI,ALTO JAPAN,2008,2
TOYOTA,CARINA,1992,2
SUZUKI,MARUTI EFI,2006,2
MITSUBISHI,LANCER CK2,1997,2
MITSUBISHI,LANCER CS1,2001,2
TOYOTA,CARINA CT210,1997,2
SUZUKI,ALTO LXI,2014,2
TESLA,MODEL 3,2024,2
NISSAN,AD WAGON,2000,2
NISSAN,AD WAGON,1999,2
TOYOTA,CARINA AT150,1985,2
SUZUKI,ALTO SPORT,2012,2
TOYOTA,CARINA AT192,1994,2
NISSAN,SALOON,1987,2
NISSAN,SB12,1989,2
MITSUBISHI,LANCER WAGON,1984,2
TOYOTA,COROLLA,1989,2
SUZUKI,SPACIA CUSTOM,2015,2
SUZUKI,HUSTLER J STYLE,2015,2
SUZUKI,MARUTI,1995,2
NISSAN,AD WAGON,1991,2
NISSAN,AD WAGON,1984,2
NISSAN,AD WAGON Y10,1998,2
TATA,NANO TWIST,2015,2
MITSUBISHI,MINICA,2004,2
TOYOTA,COROLLA,1999,2
SUZUKI,ALTO K10,2013,2
TOYOTA,CARINA TI MY ROAD 212,1999,2
SUZUKI,LIANA,2007,2
SUZUKI,MARUTI,2013,2
SUZUKI,CELERIO LXI,2015,2
MITSUBISHI,LANCER WAGON,1978,2
NISSAN,AVENIR,1997,2
MITSUBISHI,LANCER CK1,1997,2
SUZUKI,SPACIA CUSTOM Z,2018,2
SUZUKI,BALENO,1999,2
MITSUBISHI,LANCER CS1,2005,2
NISSAN,PULSAR FN15,1998,2
SUZUKI,SPACIA XS CUSTOM,2018,2
MITSUBISHI,MIRAGE,2002,2
SUZUKI,ALTO LXI,2007,2
SUZUKI,MARUTI 800,2013,2
SUZUKI,ALTO LXI,2006,2
TOYOTA,AE91 SPRINTER,1987,2
TOYOTA,CARINA,1988,2
NISSAN,LEAF AZEO,2012,2
NISSAN,WINGROAD,2004,2
NISSAN,WINGROAD,2002,2
NISSAN,WINGROAD,1999,2
SUZUKI,WAGON R FZ SAFETY MODEL,2017,2
SUZUKI,WAGON R SAFETY,2014,2
TOYOTA,ALLION G GRADE,2014,2
TOYOTA,ALLION G GRADE,2013,2
NISSAN,LEAF G GRADE,2015,2
TOYOTA,121 HATCHBACK,2002,2
TOYOTA,ALLION G GRADE,2007,2
NISSAN,LUCINO,1998,2
NISSAN,MARCH,1995,2
NISSAN,TRAD SUNNY HB12,1990,2
NISSAN,TRAD SUNNY HB12,1988,2
NISSAN,TRAD SUNNY FB12,1987,2
NISSAN,SUNNY B310,1980,2
TATA,INDIGO,2015,2
NISSAN,TRAD SUNNY B12,1987,2
TOYOTA,AQUA G,2012,2
NISSAN,SUNNY,1994,2
NISSAN,FB15 SUPER SALOON,2003,2
PERODUA,KENARI,2008,2
PERODUA,KELISA,2008,2
PERODUA,KELISA,2004,2
NISSAN,HB11,1982,2
NISSAN,SUNNY,1996,2
TATA,INDIGO GLX,2015,2
PERODUA,BEZZA,2019,2
PERODUA,BEZZA,2017,2
PERODUA,AXIA G,2016,2
NISSAN,HB310,1980,2
NISSAN,Y10,1999,2
NISSAN,K10,1990,2
TATA,INDIGO GLX,2004,2
NISSAN,PRIMERA,1999,2
NISSAN,MARCH,2003,2
SUZUKI,ALTO 800,2017,2
SUZUKI,WAGON R VXI,2008,2
NISSAN,SUNNY SB14,1997,2
NISSAN,N17,2005,2
NISSAN,SUNNY FB13,1991,2
NISSAN,N16,2005,2
NISSAN,SUNNY FB13,1993,2
TATA,INDICA,2006,2
TATA,INDICA,2007,2
NISSAN,N16 BLUEBIRD SYLPHY,2001,2
NISSAN,SUNNY FB15,2004,2
NISSAN,N16 SUNNY,2000,2
NISSAN,SUNNY FB15,2001,2
TOYOTA,AE81,1989,2
NISSAN,N16 SUNNY BLUEBIRD SYLPHY,2001,2
TOYOTA,AE91,1987,2
TOYOTA,AE91,1992,2
TATA,INDICA V2 GLX XETA,2006,2
TOYOTA,ALLION 240 G,2003,2
NISSAN,MARCH,2007,2
NISSAN,SYLPHY,2000,2
TOYOTA,AA60,1984,2
TOYOTA,ALLION 260 G GRADE,2008,2
TOYOTA,ALLION 260 G,2013,2
TOYOTA,AE100 SPRINTER,1992,2
NISSAN,MARCH K10,1988,2
NISSAN,MARCH K10,1990,2
NISSAN,MARCH K10,1991,2
NISSAN,MARCH K11,1994,2
NISSAN,MARCH K11,1995,2
NISSAN,MARCH K11,1996,2
NISSAN,N17 EX SALOON,2008,2
NISSAN,N17,2011,2
NISSAN,MARCH K11,2004,2
NISSAN,TIIDA,2011,2
NISSAN,TIIDA,2004,2
NISSAN,FB15 SUNNY EX SALOON,2000,2
NISSAN,FB15 SUNNY,2000,2
PERODUA,VIVA ELITE PREMIUM,2010,2
NISSAN,BLUEBIRD SYLPHY,2009,2
NISSAN,BLUEBIRD SYLPHY,2011,2
TOYOTA,110,2000,2
NISSAN,BLUEBIRD SYLPHY G11,2010,2
NISSAN,PULSAR CJ2,1999,2
TOYOTA,AXIO X,2007,2
NISSAN,PULSAR CJ2,1998,2
NISSAN,PULSAR,2000,2
SUZUKI,AERIO,2003,2
NISSAN,CEDRIC,1993,2
TOYOTA,AXIO G SAFETY,2016,2
NISSAN,CEFIRO,2003,2
NISSAN,CEFIRO,2004,2
TOYOTA,AXIO G GRADE,2013,2
SUZUKI,SWIFT BEETLE,2004,2
SUBARU,LEONE,1992,2
NISSAN,BLUEBIRD SYLPHY,2010,2
NISSAN,BLUEBIRD SYLPHY,2002,2
NISSAN,FB15 EX SALOON,2001,2
NISSAN,BLUEBIRD SU14,1999,2
NISSAN,B310,1980,2
TOYOTA,CAMRY,2010,2
NISSAN,BLUEBIRD,1982,2
NISSAN,BLUEBIRD,1986,2
NISSAN,BLUEBIRD,1989,2
NISSAN,BLUEBIRD,1993,2
SUZUKI,ALTO 800,2013,2
SUZUKI,ALTO 800,2012,2
SUZUKI,ALTO 800,2008,2
TOYOTA,CAMRY,1994,2
NISSAN,BLUEBIRD,1998,2
SUZUKI,ALTO,2018,2
TOYOTA,BELTA,2012,2
TOYOTA,BELTA,2011,2
TOYOTA,BELTA,2006,2
TOYOTA,AXIO G,2015,2
TOYOTA,AXIO G,2014,2
RENAULT,KWID SPORTS RXT,2016,2
RENAULT,KWID RXT,2017,2
NISSAN,FB14,1993,2
PEUGEOT,504,1976,2
SUZUKI,SWIFT ZXI,2006,2
SUZUKI,SX4,2007,2
NISSAN,FB14,1999,2
NISSAN,FB14 EX SALOON,1998,2
NISSAN,FB14 SUPER SALOON,1999,2
NISSAN,FB15,1998,2
PEUGEOT,406,2000,2
PEUGEOT,406,1999,2
PEUGEOT,306,1998,2
PEUGEOT,305GL,1986,2
SUZUKI,WAGON R,2003,2
TOYOTA,AT150,1985,2
PERODUA,VIVA ELITE PREMIUM,2012,2
NISSAN,SUNNY,1987,2
SUZUKI,SWIFT RS TURBO SAFETY,2017,2
PEUGEOT,508,2011,2
NISSAN,DAYZ ROOX,2015,2
NISSAN,DAYZ,2017,2
SUZUKI,SWIFT JAPAN,2002,2
NISSAN,DAYZ,2020,2
RENAULT,KWID,2018,2
TOYOTA,AXIO G,2007,2
NISSAN,DAYZ HIGHWAY STAR,2017,2
TOYOTA,AXIO FIELDER,2014,2
PROTON,GEN 2,2005,2
PROTON,WIRA,2000,2
PROTON,WIRA,1998,2
SUZUKI,SWIFT JAPAN,2004,2
SUZUKI,SWIFT JAPAN,2005,2
PROTON,SAGA,2024,2
SUZUKI,SWIFT JAPAN,2010,2
PROTON,WIRA,2005,2
MITSUBISHI,LANCER,1991,2
HYUNDAI,ELANTRA,2011,2
TOYOTA,EE96,1990,2
MAZDA,323,1985,2
HONDA,FIT ARIA,2005,2
MAZDA,3,2007,2
MERCEDES-BENZ,E350E AMG PREMIUM,2017,2
DATSUN,DATSUN,2017,2
TOYOTA,TERCEL,1997,2
TOYOTA,COROLLA EE96,1989,2
DAIHATSU,MIRA,1997,2
HONDA,FIT GD1,2007,2
HONDA,FIT GE6,2007,2
DAIHATSU,MOVE,2015,2
MERCEDES-BENZ,W 123,1980,2
HONDA,FIT GP1 10TH ANNIVERSARY,2012,2
TOYOTA,PRIUS 4TH GEN,2016,2
FIAT,GRANDE PUNTO,2007,2
HONDA,FIT ARIA,2004,2
FIAT,LINEA,2011,2
MAZDA,323,1994,2
MERCEDES-BENZ,E300 BLUETEC,2014,2
MAZDA,ASTINA,1989,2
MAZDA,AXELA,2010,2
FIAT,PUNTO,2001,2
FIAT,PUNTO,2007,2
TOYOTA,PRIUS S LED,2013,2
TOYOTA,DX WAGON KE72,1984,2
TOYOTA,COROLLA KE72,1984,2
MAZDA,CAROL,2015,2
HONDA,CRZ,2013,2
TOYOTA,DX WAGON,1987,2
FIAT,UNO,1996,2
MAZDA,DEMIO,1998,2
DAIHATSU,MIRA ES,2016,2
TOYOTA,VIOS,2010,2
CHERY,QQ,2012,2
KIA,OPTIMA,2012,2
TOYOTA,VITZ,2014,2
KIA,PRIDE,2000,2
HONDA,FIT GP5,2020,2
TOYOTA,IST,2009,2
CHEVROLET,CRUZE GM,2005,2
TOYOTA,COROLLA CE110 XE SALOON,1997,2
CHEVROLET,AVEO,2008,2
HONDA,FIT GP1 PREMIUM,2013,2
MICRO,BAIC,2018,2
TOYOTA,COROLLA CE110,1997,2
MICRO,BAIC X25,2019,2
KIA,CERATO,2011,2
TOYOTA,PRIUS 2ND GEN ANNIVERSARY,2008,2
CHERY,QQ 308,2007,2
TOYOTA,VITZ,2013,2
TOYOTA,VITZ,2006,2
MERCEDES-BENZ,W210 E200,1998,2
DAIHATSU,CHARADE,1986,2
DAIHATSU,CHARADE,1987,2
TOYOTA,VITZ,2003,2
MERCEDES-BENZ,W210 E200,1996,2
DAIHATSU,CHARADE G100S,1987,2
DAIHATSU,CHARADE G101S,1989,2
TOYOTA,IST,2002,2
TOYOTA,VISTA,1991,2
TOYOTA,COROLLA DX WAGON,1984,2
KIA,RIO RS,2003,2
DAIHATSU,CUORE,1997,2
MERCEDES-BENZ,W124,1986,2
HONDA,FIT GP5,2017,2
TOYOTA,EP91,1997,2
MAZDA,DEMIO,1999,2
MAZDA,DEMIO,2002,2
MAZDA,DEMIO,2003,2
MAZDA,FAMILIA BJ5P,2001,2
MAZDA,FLAIR,2014,2
TOYOTA,CORONA PREMIO,1997,2
TOYOTA,STARLET EP71,1987,2
HONDA,CIVIC EK3,1999,2
HONDA,CIVIC EK3,2000,2
MAZDA,FAMILIA BJ5P,2003,2
MAZDA,FAMILIA BJ5P,2000,2
TOYOTA,PRIUS S TOURING,2010,2
MERCEDES-BENZ,C180,2002,2
FORD,TELSTAR,1985,2
TOYOTA,SPRINTER,1997,2
MAZDA,FAMILIA BJ5,2003,2
FORD,MONDEO,2003,2
TOYOTA,STARLET EP82,1993,2
MERCEDES-BENZ,- KOMPESSOR C180,2003,2
TOYOTA,STARLET,1995,2
TOYOTA,STARLET,1992,2
HONDA,CITY,2004,2
TOYOTA,STARLET,1988,2
TOYOTA,CROWN,1983,2
TOYOTA,CORSA,1990,2
MAZDA,MAZDA,1993,2
MAZDA,RX-8,2008,2
TOYOTA,CORSA,1998,2
HONDA,CIVIC,1987,2
HONDA,CIVIC,2012,2
MAZDA,MR 90,1993,2
MAZDA,MR 90,1992,2
MAZDA,MAZDA,2008,2
TOYOTA,CORSA EL51,1996,2
HONDA,CIVIC,1991,2
TOYOTA,STARLET EP82,1994,2
TOYOTA,STARLET EP82,1995,2
MERCEDES-BENZ,C180 KOMPRESSOR,2010,2
TOYOTA,CORONA,1986,2
MERCEDES-BENZ,E200,2010,2
HONDA,CIVIC SR,2018,2
HONDA,CIVIC SR,2017,2
FORD,LASER,1985,2
TOYOTA,COROLLA WAGON,1991,2
FORD,LASER,1987,2
TOYOTA,STARLET GT,1991,2
MERCEDES-BENZ,CLA 180,2019,2
MAZDA,FAMILIA,1990,2
MAZDA,FAMILIA,1995,2
HONDA,CIVIC FD1,2006,2
MERCEDES-BENZ,C220 CDI,2013,2
TOYOTA,STARLET GLANZA,2000,2
TOYOTA,CORONA,1985,2
TOYOTA,PREMIO,1999,2
TOYOTA,CORONA AT170,1989,2
TOYOTA,STARLET GLANZA,1997,2
FORD,LASER,1996,2
TOYOTA,CORONA,1991,2
TOYOTA,CORONA,1992,2
TOYOTA,CORONA,1993,2
TOYOTA,CORONA,1994,2
TOYOTA,CORONA,1996,2
FORD,LASER,2001,2
MERCEDES-BENZ,C200,2019,2
MERCEDES-BENZ,C200,2016,2
MERCEDES-BENZ,C200,2007,2
TOYOTA,DUET,2003,2
HONDA,CIVIC ES8,2004,2
HONDA,CIVIC ES8,2002,2
TOYOTA,VITZ KSP130,2016,2
KIA,RIO,2015,2
CHERY,QQ,2010,2
HONDA,INSIGHT ZE2,2010,2
TOYOTA,PASSO,2011,2
TOYOTA,COROLLA 2,1987,2
TOYOTA,COROLLA 2,1993,2
HYUNDAI,SANTRO XING,2004,2
HYUNDAI,SONATA,2011,2
VOLKSWAGEN,PASSAT,2000,2
BAJAJ,QUTE,2018,2
HONDA,N WGN CUSTOM,2018,2
HONDA,N WGN,2018,2
BMW,318I,2016,2
TOYOTA,COROLLA 2 WINDY,1992,2
TOYOTA,COROLLA AE100,1995,2
HONDA,N BOX CUSTOM,2017,2
TOYOTA,VITZ KSP130,2017,2
HONDA,N BOX,2018,2
BMW,318I M SPORT,2018,2
TOYOTA,COROLLA AE110,1996,2
MINI,COOPER,1970,2
TOYOTA,COROLLA AE110,1998,2
MINI,COOPER,1961,2
TOYOTA,PREMIO CORONA,1996,2
TOYOTA,YARIS,2019,2
MICRO,X25,2017,2
HONDA,INTEGRA,1987,2
BMW,320D,2011,2
BMW,320D,2013,2
TOYOTA,COROLLA AE110,2008,2
BMW,320I E90,2007,2
HONDA,INSIGHT ZE3,2012,2
TOYOTA,COROLLA 141 LX,2010,2
TOYOTA,COROLLA 141,2012,2
MITSUBISHI,EK WAGON,2017,2
TOYOTA,PASSO SAFETY,2017,2
AUDI,A1,2018,2
AUDI,A3 S LINE,2018,2
AUDI,A3 TFSI,2015,2
ZOTYE,Z100,2018,2
AUDI,A4,2010,2
HYUNDAI,ATOS,2001,2
HYUNDAI,ACCENT,2006,2
HYUNDAI,ACCENT,1999,2
TOYOTA,PIXIS,2017,2
VOLVO,S60,2004,2
HYUNDAI,EON MAGNA,2014,2
HYUNDAI,ACCENT,1998,2
MITSUBISHI,LANCER,1995,2
VOLVO,S40,1999,2
HONDA,S660,2017,2
TOYOTA,PREMIO 260,2007,2
TOYOTA,COROLLA 121 G,2003,2
TOYOTA,COROLLA 121 G GRADE,2001,2
HYUNDAI,GETZ,2002,2
MITSUBISHI,GALANT,2006,2
MITSUBISHI,GALANT,2003,2
AUDI,A8L,2013,2
HYUNDAI,GRAND I10,2016,2
MITSUBISHI,GALANT,1983,2
VOLKSWAGEN,POLO R-LINE,2019,2
HONDA,S660,2018,2
TOYOTA,PASSO HANA KGC30,2010,2
HYUNDAI,GRAND I10,2024,2
HONDA,INSIGHT ZE3,2011,2
TOYOTA,SPRINTER AE80,1984,2
TOYOTA,VITZ SCP90,2008,2
HONDA,INSIGHT,2013,2
TOYOTA,VITZ SAFETY EDITION,2018,2
HYUNDAI,STELLAR,1986,2
HONDA,GRACE EX LIMITED,2016,2
HONDA,FREED,2013,2
MICRO,PANDA LC 1.0,2015,2
MICRO,PANDA LC 1.0,2013,2
TOYOTA,COROLLA AE80,1984,2
MICRO,PANDA LC,2016,2
TOYOTA,VITZ SAFETY,2018,2
TOYOTA,VITZ SAFETY,2017,2
HONDA,FIT SHUTTLE GP2,2013,2
TOYOTA,COROLLA AE80,1986,2
TOYOTA,COROLLA AE81,1984,2
TOYOTA,VITZ RS,2008,2
BMW,I3 REX,2016,2
HONDA,FIT SHUTTLE,2011,2
TOYOTA,VITZ KSP90,2006,2
TOYOTA,PRIUS,2007,2
TOYOTA,VITZ KSP130,2019,2
MICRO,MX7 MARK 2,2013,2
MICRO,MX7,2013,2
MICRO,MX7,2011,2
HONDA,FIT GP5 S GRADE MUGEN,2013,2
HONDA,GRAND CIVIC,1990,2
TOYOTA,PREMIO G SUPERIOR,2019,2
BMW,520I,2011,2
TOYOTA,PRIUS S GRADE,2014,1
TOYOTA,PREMIO NZT260 G SUPERIOR,2018,1
TOYOTA,PRIUS 3RD GEN,2011,1
TATA,INDIGO MARINA GLX,2005,1
TATA,INDIGO MARINA,2006,1
SUZUKI,ZEN,2003,1
TOYOTA,SPRINTER,1999,1
TOYOTA,SPRINTER,1998,1
SUZUKI,ZEN,2004,1
TOYOTA,PRIUS 3RD GENERATION,2014,1
TOYOTA,PRIUS G GRADE,2012,1
TATA,INDICA,2011,1
TOYOTA,PREMIO G SUPERIOR,2009,1
SUZUKI,WAGON R STINGRAY,2020,1
SUZUKI,WAGON R,2019,1
TOYOTA,SPRINTER,2003,1
SUZUKI,ZEN ESTILO,2008,1
SUZUKI,WAGON R,2020,1
TOYOTA,SPRINTER,1995,1
TOYOTA,PRIUS PHV,2013,1
TOYOTA,SPRINTER,1991,1
SUZUKI,WAGON R 44S,2015,1
SUZUKI,WAGON R CUSTOM Z TURBO,2024,1
SUZUKI,WAGON R FX,2015,1
TOYOTA,PREMIO 260,2011,1
TATA,INDIGO ECS,2015,1
SUZUKI,ZEN ESTILO,2009,1
SUZUKI,WAGON R STINGRAY SAFETY,2014,1
TOYOTA,PREMIO 260,2008,1
TATA,INDIGO,2016,1
TOYOTA,PRIUS 3RD,2012,1
TOYOTA,PRIUS MY COORDINATION S TOURING,2014,1
TOYOTA,PREMIO,2000,1
SUZUKI,WAGON R VXI,2011,1
TOYOTA,PRIUS G TOURING,2015,1
SUZUKI,WAGON R TURBO,2017,1
SUZUKI,WAGON R ZX MH95S,2023,1
TOYOTA,PRIUS 2ND GENERATION,2007,1
TATA,NANO,2014,1
TOYOTA,SPRINTER 111,2000,1
TOYOTA,PRIUS MY CORD EDITION S GRADE,2012,1
SUZUKI,WORKS,1998,1
SUZUKI,WAGON R,2013,1
SUZUKI,ZEN,2000,1
TOYOTA,PRIUS G GRADE,2013,1
SUZUKI,WORKS,2002,1
SUZUKI,WAGON R STINGRAY SAFETY,2019,1
SUZUKI,WAGON R STINGRAY SAFETY,2017,1
TOYOTA,SPRINTER 110 XE VINTAGE,1997,1
SUZUKI,X 44,2008,1
TOYOTA,PREMIO 240,2006,1
TOYOTA,SPRINTER 110 VINTAGE,1997,1
TOYOTA,PREMIO 240 G,2003,1
SUZUKI,WAGON R STINGRAY SAFETY,2015,1
TOYOTA,SPRINTER 110,1996,1
TOYOTA,SPRINTER,1990,1
TOYOTA,PREMIO 260,2013,1
SUZUKI,WAGON R FZ SAFETY,2021,1
SUZUKI,WAGON R FZ,2019,1
TATA,INDICA V2 LSI,2003,1
TOYOTA,PREMIO 260,2016,1
SUZUKI,WAGON R FZ CAM,2018,1
SUZUKI,WAGON R FZ JAPAN,2015,1
TOYOTA,PRIUS ZVW30,2012,1
TOYOTA,PRIUS S TOURING LIMITED,2011,1
SUZUKI,WAGON R FZ PREMIUM,2019,1
TATA,INDICA V2,2006,1
TOYOTA,PREMIO 260 G SUPERIOR,2008,1
TOYOTA,PRIUS 4TH,2016,1
TATA,INDICA V2,2005,1
TOYOTA,PRIUS S LIMITED LED,2012,1
TOYOTA,PREMIO CT210,1999,1
TATA,INDICA LXI V2,2005,1
TATA,INDICA GLX XETA,2014,1
SUZUKI,WAGON R MH44 FZ,2014,1
SUZUKI,WAGON R JAPAN,2006,1
TATA,INDICA GLX,2015,1
SUZUKI,WAGON R JAPAN,2002,1
TOYOTA,PRIUS C AQUA,2014,1
TATA,INDICA EV2 GLX,2014,1
TOYOTA,PRIUS S LIMITED,2012,1
TOYOTA,PRIUS S LIMITED,2010,1
TOYOTA,PREMIO 260 G SUPERIOR,2011,1
TOYOTA,PRIUS ANNIVERSARY,2008,1
TATA,INDICA XETA GLX,2009,1
TOYOTA,PRIUS ZVW50,2016,1
TOYOTA,SPRINTER,1989,1
TOYOTA,ROOMY,2017,1
TOYOTA,PREMIO G,2014,1
SUZUKI,WAGON R FX SAFETY,2016,1
TOYOTA,SPRINTER,1985,1
TOYOTA,SOLUNA,2005,1
TATA,INDIGO,2011,1
SUZUKI,WAGON R SAFETY,2016,1
TOYOTA,SPRINTER AE110,1998,1
TOYOTA,PRIUS S,2011,1
SUZUKI,WAGON R STINGRAY J STYLE,2016,1
SUZUKI,WAGON R PREMIUM FZ,2018,1
TATA,INDIGO,2008,1
TATA,INDICA,2013,1
TATA,EV2 XETA,2015,1
SUZUKI,WAGON R STINGRAY J STYLE,2006,1
TOYOTA,PRIUS S GRADE,2012,1
TATA,INDICA XETA GLX V2,2007,1
TOYOTA,SOLUNA,2003,1
TATA,INDICA XETA GLX EV2,2015,1
TOYOTA,SCP90 VITZ,2008,1
TOYOTA,ROOMY LED,2020,1
TOYOTA,ROOMY,2018,1
SUZUKI,WAGON R MH55S FZ,2017,1
TATA,INDICA XETA GLX,2015,1
TOYOTA,PRIUS 3RD GENERATION S GRADE,2013,1
SUZUKI,WAGON R MH44S,2015,1
TATA,INDICA GLX XETA,2006,1
TOYOTA,COROLLA 110,2001,1
TOYOTA,SPRINTER VINTAGE,1997,1
TOYOTA,VITZ SAFETY CBG CAR,2016,1
SUZUKI,SPACIA TURBO,2018,1
SUZUKI,SPACIA G GRADE,2015,1
TOYOTA,VITZ KSP90,2010,1
SUZUKI,SPACIA CUSTOM Z SAFETY TURBO,2017,1
TOYOTA,VITZ KSP90,2012,1
TOYOTA,VITZ RS TURBO,2003,1
TOYOTA,VITZ SAFETY,2015,1
SUZUKI,SPACIA CUSTOM Z,2016,1
SUZUKI,SPACIA CUSTOM XS SAFETY,2018,1
SUZUKI,SPACIA CUSTOM XS,2018,1
SUZUKI,SPACIA CUSTOM TURBO,2015,1
SUZUKI,S-CROSS SX4,2018,1
TOYOTA,VITZ SAFETY EDITION 1,2017,1
TOYOTA,VITZ SAFETY PACK,2016,1
TOYOTA,VITZ SAFFTY EDITION 2,2018,1
TOYOTA,VITZ SCP 10,2001,1
TOYOTA,WAGON,1990,1
TOYOTA,WAGON KE72,1985,1
TOYOTA,WAGON R PIXIS MEGA,2018,1
TOYOTA,XE COROLLA 110,1999,1
TOYOTA,YARIS,2009,1
TOYOTA,YARIS,2014,1
TOYOTA,VITZ KSP90,2005,1
TOYOTA,VITZ KSP130 EDITION 2,2018,1
TOYOTA,VITZ KSP130 EDITION,2016,1
TOYOTA,VITZ KSP130 EDITION,2011,1
TOYOTA,VISTA CV30,1991,1
TOYOTA,VISTA CV30,1993,1
TOYOTA,VITZ 8,2008,1
TOYOTA,VITZ EDITION,2017,1
TOYOTA,VITZ EDITION 2,2015,1
TOYOTA,VITZ EDITION 2,2019,1
TOYOTA,VITZ EDITION 2 SAFETY,2018,1
TOYOTA,VITZ EDITION 3S,2019,1
TOYOTA,VITZ ILL,2012,1
TOYOTA,VITZ JEWELA,2015,1
TOYOTA,VITZ JEWELA,2016,1
TOYOTA,VITZ JEWELA,2018,1
TOYOTA,VITZ KSP 99,2007,1
TOYOTA,VITZ KSP130,2011,1
SUZUKI,SWIFT,2000,1
SUZUKI,SUZUKI,2018,1
TOYOTA,VITZ KSP130,2014,1
SUZUKI,SUZUKI,2006,1
SUZUKI,SUZUKI,1988,1
SUZUKI,SPACIA XS CUSTOM TURBO,2018,1
SUZUKI,SPACIA XS CUSTOM SAFETY EDITION,2018,1
SUZUKI,SOLIO BANDIT,2016,1
SUZUKI,MINI,1994,1
TOYOTA,VIOS JAPAN,2004,1
VOLVO,940,1995,1
SUZUKI,MARUTI 800 SPORT,2008,1
SUZUKI,MARUTI 800 EFI,2011,1
SUZUKI,MARUTI 800 EFI,2004,1
SUZUKI,MARUTI 800 EFI,2000,1
SUZUKI,MARUTI 800 AC,2005,1
VOLKSWAGEN,TIGUAN ALLSPACE,2018,1
VOLVO,740 GLE,1990,1
VOLVO,740 HEARSE,1995,1
VOLVO,850,1995,1
VOLVO,850,1996,1
VOLVO,940 GLE TURBO,1996,1
TOYOTA,YARIS ATIV G GRADE,2019,1
VOLVO,S40,1997,1
VOLVO,S40,2000,1
VOLVO,S40,2002,1
VOLVO,S40,2004,1
VOLVO,S70,2000,1
VOLVO,V70 HEARSE,2000,1
VOLVO,VOLVO,1996,1
WILLYS,AMERICAN WILLYS,1962,1
